id,price,flooring,available_units,towers,construction,ownership,emi,bed,bath,parking,area,costpersqft,flat_on_floor,total_floor,lift,balcony,lattitude,longitude,project_in_acres,builder,project_name,furnish,city,location,property_type,status,extra_rooms,facing,seller,price_category,overlooking,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km
cardid72449737,0.85,vitrified,,,above 20 years,freehold,0.38,1.0,2.0,,620.0,13710.0,1.0,7.0,,,19.205900192260742,72.83179473876953,,,,semi-furnished,mumbai,malad east,resale,ready to move,,,person,0.00 - 0.99,garden/park,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71095207,0.88,"normal tiles/kotah stone, vitrified",,,5 to 10 years,freehold,0.4,2.0,2.0,,638.0,13793.0,,,2.0,3.0,19.072174072265625,73.07372283935547,,,,semi-furnished,navi mumbai,sector 35i kharghar,resale,ready to move,,south - east,person,0.00 - 0.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72455375,2.3,vitrified,,,10 to 15 years,co-operative society,1.04,3.0,3.0,1.0,900.0,25556.0,6.0,7.0,1.0,,19.205001831054688,72.86927032470703,,,,semi-furnished,mumbai,borivali east,resale,ready to move,none of these,east,person,2.00 - 2.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72127301,2.75,"vitrified, marble, granite",,,10 to 15 years,freehold,1.24,2.0,2.0,,650.0,42308.0,2.0,2.0,1.0,,19.090526580810547,72.89801788330078,,,,semi-furnished,mumbai,chira bazaar,resale,ready to move,store,east,person,2.00 - 2.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71799377,0.45,vitrified,,,less than 5 years,freehold,0.2,1.0,2.0,1.0,430.0,10465.0,7.0,10.0,2.0,3.0,19.36528374,72.81139049,,,,semi-furnished,palghar,bhabola,resale,ready to move,store,east,realestateagent,0.00 - 0.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid70994501,2.6,,432.0,3.0,less than 5 years,,1.17,2.0,2.0,,905.0,28729.0,4.0,4.0,,3.0,19.1629924,72.8393019,4.0,sunteck realty ltd.,sunteck city avenue 1,unfurnished,mumbai,goregaon west,resale,ready to move,,,person,2.00 - 2.99,,4.866666666666666,0.6,1,8.7,7.6,0,2.08,0.1,4,4.66,1.7,2,0.3,0.1,3,,,0,0.3,4.121333333333333,0.1,2.0199999999999996,10
cardid68260799,1.52,vitrified,,,15 to 20 years,freehold,0.69,2.0,2.0,1.0,680.0,22353.0,6.0,7.0,1.0,,19.213932037353516,72.85505676269531,,,,semi-furnished,mumbai,kandivali east,resale,ready to move,,east,person,1.00 - 1.99,"garden/park, main road",,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72020249,0.16,,,,5 to 10 years,,0.07,1.0,1.0,,540.0,2963.0,1.0,3.0,,2.0,19.691778,72.771066,,,,semi-furnished,palghar,palghar west,resale,ready to move,,,person,0.00 - 0.99,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71803437,0.4,"vitrified, ceramic tiles",,,5 to 10 years,freehold,0.18,1.0,1.0,,425.0,9412.0,,,1.0,2.0,18.974117279052734,73.02946472167969,,,,unfurnished,navi mumbai,ulwe,resale,ready to move,,east,person,0.00 - 0.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72010129,0.4,vitrified,,,5 to 10 years,freehold,0.18,1.0,1.0,,400.0,10000.0,,,1.0,2.0,19.057971954345703,73.08173370361328,,,,unfurnished,navi mumbai,kharghar,resale,ready to move,,east,person,0.00 - 0.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
