id,builder,project_name,project_in_acres,location,city,lattitude,longitude,property_type,status,construction,ownership,flat_on_floor,total_floor,furnish,area,bed,bath,balcony,lift,parking,overlooking,facing,flooring,extra_rooms,available_units,towers,costpersqft,emi,price_category,price,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km,seller
cardid72658939,jp infra residency private limited,north barcelona,,vinay nagar,thane,19.282975,72.873618,resale,ready to move,new construction,freehold,18.0,27.0,unfurnished,980.0,3.0,3.0,5.0,2.0,,main road,east,"ceramic tiles, granite, vitrified",none of these,552.0,3.0,15510.0,0.69,1.00 - 1.99,1.52,,,,,,0.0,0.9,0.9,1.0,,,,,,,,,,0.9,0.9,0.9,0.9,1.0,realestateagent
cardid72985027,,,,park road,mumbai,19.11857795715332,72.86539459228516,new property,ready to move,new construction,freehold,3.0,7.0,unfurnished,626.0,2.0,2.0,,2.0,,,east,vitrified,,,,62300.0,1.76,3.00 - 3.99,3.9,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid67556953,,,,santacruz west,mumbai,19.0812559812257,72.8376604906028,new property,under construction,under construction,freehold,12.0,14.0,unfurnished,1010.0,3.0,3.0,,2.0,2.0,"garden/park, main road",west,marble,store,,,59406.0,2.71,6.00 - 6.99,6.0,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72785497,,,,garodia nagar,mumbai,19.07556,72.91008,new property,ready to move,new construction,freehold,7.0,17.0,unfurnished,417.0,1.0,2.0,,3.0,,"garden/park, main road",east,"ceramic tiles, granite, marble, marbonite, mosaic, normal tiles/kotah stone, vitrified, wooden",none of these,,,27000.0,0.51,1.00 - 1.99,1.12,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72858135,sun beam high tech developers private limited,sunbeam heights,,andheri west,mumbai,19.1373697481266,72.8257229439874,new property,under construction,under construction,freehold,23.0,40.0,semi-furnished,650.0,2.0,2.0,1.0,,,garden/park,east,"vitrified, granite",study,,,30769.0,0.9,2.00 - 2.99,2.0,1.7399999999999998,0.8,3.0,1.9,0.9,1.0,0.82,0.6,5.0,1.0,0.9,2.0,,,,1.075,0.9,4.0,0.82,1.307,0.6,0.8200000000000001,15.0,realestateagent
cardid70931639,agarwal group,agarwal paramount,2.0,virar west,palghar,19.4638767047594,72.7822993572118,resale,ready to move,new construction,freehold,7.0,14.0,semi-furnished,813.0,3.0,3.0,4.0,3.0,,main road,west,vitrified,study,758.0,13.0,9963.0,0.37,0.00 - 0.99,0.81,40.03333333333333,30.5,0.0,31.3,1.8,1.0,19.72,1.8,1.0,48.1,48.1,0.0,,,,,,,19.72,34.788333333333334,1.8,20.55,2.0,realestateagent
cardid71295303,today global,codename bellevue kharghar,9.0,kharghar,navi mumbai,19.0656721198219,73.05961185164,resale,ready to move,new construction,co-operative society,10.0,21.0,unfurnished,1010.0,3.0,3.0,2.0,2.0,1.0,main road,east,vitrified,none of these,100.0,9.0,12376.0,0.56,1.00 - 1.99,1.25,3.04,1.1,1.0,2.76,1.9,1.0,4.12,2.3,0.0,6.0,2.3,0.0,,,,,,,2.76,3.98,1.1,1.9,2.0,realestateagent
cardid70860025,shreeji group,shreeji atlantis,1.0,malad west,mumbai,19.1889733,72.8220064,new property,ready to move,,freehold,2.0,36.0,unfurnished,807.0,2.0,2.0,,4.0,1.0,"garden/park, pool",east,vitrified,,80.0,2.0,27881.0,1.01,2.00 - 2.99,2.25,4.25,0.4,1.0,,,,1.58,0.7,3.0,7.033333333333334,5.6,0.0,1.1,0.7,2.0,0.7,0.7,1.0,0.7,2.9326666666666665,0.4,1.62,7.0,realestateagent
cardid69662089,man realty,man opus,3.0,mira road area,thane,19.269439,72.88082636,new property,ready to move,less than 5 years,freehold,12.0,22.0,unfurnished,715.0,2.0,2.0,3.0,3.0,,"garden/park, main road",north - east,vitrified,puja,1252.0,14.0,13007.0,0.42,0.00 - 0.99,0.93,10.2,10.2,0.0,1.4,1.4,1.0,6.5,1.7,1.0,13.166666666666666,10.7,0.0,0.9,0.9,1.0,,,,0.9,6.433333333333333,0.9,4.98,3.0,realestateagent
cardid60113911,piramal realty,piramal mahalaxmi,4.0,mahalakshmi,mumbai,18.9865617867147,72.8182867539311,new property,under construction,under construction,freehold,1.0,72.0,unfurnished,859.0,2.0,2.0,1.0,6.0,1.0,"garden/park, main road, pool",north - east,vitrified,store,1200.0,3.0,49243.0,1.91,4.00 - 4.99,4.23,2.1666666666666665,0.7,1.0,1.8,0.7,4.0,0.8500000000000001,0.6,2.0,2.02,1.1,3.0,,,,,,,0.8500000000000001,1.7091666666666665,0.6,0.775,10.0,realestateagent
